Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16 strings array; 6.894 sort μs; 17.939 rand gen μs; 27.113 overhead μs; 51.946 total μs; 35.000 swaps; 74.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 16 strings array; 3.292 sort μs; 26.629 rand gen μs; 28.559 overhead μs; 58.480 total μs; 30.000 swaps; 77.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 32 strings array; 3.177 sort μs; 28.207 rand gen μs; 8.387 overhead μs; 39.771 total μs; 70.000 swaps; 232.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 64 strings array; 6.842 sort μs; 54.538 rand gen μs; 6.567 overhead μs; 67.947 total μs; 165.000 swaps; 490.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 128 strings array; 14.620 sort μs; 108.849 rand gen μs; 7.255 overhead μs; 130.724 total μs; 350.000 swaps; 1143.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 256 strings array; 31.810 sort μs; 227.557 rand gen μs; 34.110 overhead μs; 293.477 total μs; 767.000 swaps; 2674.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 512 strings array; 68.097 sort μs; 433.921 rand gen μs; 8.137 overhead μs; 510.155 total μs; 1706.000 swaps; 5880.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 1024 strings array; 153.834 sort μs; 867.901 rand gen μs; 18.862 overhead μs; 1040.597 total μs; 3566.000 swaps; 14283.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 2048 strings array; 325.221 sort μs; 1733.287 rand gen μs; 15.545 overhead μs; 2074.053 total μs; 7720.000 swaps; 29122.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 4096 strings array; 709.707 sort μs; 3482.157 rand gen μs; 27.809 overhead μs; 4219.673 total μs; 15876.000 swaps; 71214.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 8192 strings array; 1516.677 sort μs; 6938.511 rand gen μs; 47.533 overhead μs; 8502.721 total μs; 34101.000 swaps; 148903.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 16384 strings array; 3252.290 sort μs; 14009.165 rand gen μs; 90.711 overhead μs; 17352.166 total μs; 73025.000 swaps; 294103.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 32768 strings array; 7461.795 sort μs; 28236.702 rand gen μs; 172.602 overhead μs; 35871.099 total μs; 151724.000 swaps; 667700.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 65536 strings array; 15339.486 sort μs; 56073.107 rand gen μs; 480.622 overhead μs; 71893.215 total μs; 318392.000 swaps; 1402879.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 131072 strings array; 36449.310 sort μs; 111448.577 rand gen μs; 1198.668 overhead μs; 149096.555 total μs; 671644.000 swaps; 2990832.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 262144 strings array; 86767.702 sort μs; 222568.695 rand gen μs; 2391.594 overhead μs; 311727.991 total μs; 1394711.000 swaps; 6499319.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 524288 strings array; 195466.328 sort μs; 444061.033 rand gen μs; 4833.902 overhead μs; 644361.263 total μs; 2911800.000 swaps; 13576546.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 1048576 strings array; 438014.048 sort μs; 887542.132 rand gen μs; 9706.304 overhead μs; 1335262.484 total μs; 6087408.000 swaps; 28069998.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 2097152 strings array; 990720.646 sort μs; 1773147.374 rand gen μs; 19511.233 overhead μs; 2783379.253 total μs; 12639545.000 swaps; 60346070.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 4194304 strings array; 2195734.719 sort μs; 3552192.739 rand gen μs; 38968.089 overhead μs; 5786895.547 total μs; 26139013.000 swaps; 130687083.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 8388608 strings array; 4678424.507 sort μs; 7080939.451 rand gen μs; 77846.423 overhead μs; 11837210.381 total μs; 54400884.000 swaps; 269183688.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 16777216 strings array; 9802067.255 sort μs; 14152505.109 rand gen μs; 155876.732 overhead μs; 24110449.096 total μs; 112815354.000 swaps; 544330291.000 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 33554432 strings array; 20631958.308 sort μs; 28390810.468 rand gen μs; 312493.064 overhead μs; 49335261.840 total μs; 234318269.000 swaps; 1109710805.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 16 strings array; 8.417 sort μs; 15.476 rand gen μs; 24.162 overhead μs; 48.055 total μs; 52.000 swaps; 44.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 32 strings array; 2.931 sort μs; 28.072 rand gen μs; 6.406 overhead μs; 37.409 total μs; 145.000 swaps; 123.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 64 strings array; 6.135 sort μs; 55.611 rand gen μs; 5.566 overhead μs; 67.312 total μs; 347.000 swaps; 307.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 128 strings array; 15.587 sort μs; 108.339 rand gen μs; 23.495 overhead μs; 147.421 total μs; 811.000 swaps; 734.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 256 strings array; 31.924 sort μs; 219.258 rand gen μs; 8.476 overhead μs; 259.658 total μs; 1901.000 swaps; 1726.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 512 strings array; 69.842 sort μs; 434.850 rand gen μs; 7.380 overhead μs; 512.072 total μs; 4286.000 swaps; 3968.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 1024 strings array; 162.144 sort μs; 872.360 rand gen μs; 8.300 overhead μs; 1042.804 total μs; 9595.000 swaps; 8938.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 2048 strings array; 333.107 sort μs; 1746.921 rand gen μs; 10.774 overhead μs; 2090.802 total μs; 21216.000 swaps; 19945.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 4096 strings array; 757.599 sort μs; 3485.723 rand gen μs; 15.485 overhead μs; 4258.807 total μs; 46512.000 swaps; 43978.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 8192 strings array; 1659.139 sort μs; 6968.608 rand gen μs; 24.724 overhead μs; 8652.471 total μs; 101437.000 swaps; 96189.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 16384 strings array; 3833.503 sort μs; 14056.605 rand gen μs; 44.190 overhead μs; 17934.298 total μs; 218965.000 swaps; 208469.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 32768 strings array; 8562.225 sort μs; 27901.142 rand gen μs; 91.011 overhead μs; 36554.378 total μs; 471075.000 swaps; 450109.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 65536 strings array; 21378.937 sort μs; 55907.733 rand gen μs; 193.369 overhead μs; 77480.039 total μs; 1007159.000 swaps; 965689.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 131072 strings array; 48099.880 sort μs; 111825.616 rand gen μs; 1002.751 overhead μs; 160928.247 total μs; 2145364.000 swaps; 2062566.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 262144 strings array; 117563.040 sort μs; 223096.768 rand gen μs; 2011.933 overhead μs; 342671.741 total μs; 4553325.000 swaps; 4387069.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 524288 strings array; 279502.635 sort μs; 445985.954 rand gen μs; 4575.625 overhead μs; 730064.214 total μs; 9630389.000 swaps; 9298759.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 1048576 strings array; 645276.097 sort μs; 893464.515 rand gen μs; 9763.073 overhead μs; 1548503.685 total μs; 20308423.000 swaps; 19645737.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 2097152 strings array; 1474226.570 sort μs; 1775907.975 rand gen μs; 20276.866 overhead μs; 3270411.411 total μs; 42716247.000 swaps; 41388100.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 4194304 strings array; 3340591.284 sort μs; 3554943.027 rand gen μs; 40899.469 overhead μs; 6936433.780 total μs; 89619553.000 swaps; 86969462.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 8388608 strings array; 7480850.287 sort μs; 7104856.131 rand gen μs; 82223.211 overhead μs; 14667929.629 total μs; 187634827.000 swaps; 182333461.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 16777216 strings array; 16650015.337 sort μs; 14203005.278 rand gen μs; 163698.190 overhead μs; 31016718.805 total μs; 392046831.000 swaps; 381439549.000 compares
Merge Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 1 iteration; 33554432 strings array; 36551082.689 sort μs; 28355921.558 rand gen μs; 325656.381 overhead μs; 65232660.628 total μs; 817645924.000 swaps; 796433552.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 16 strings array; 3.921 sort μs; 16.322 rand gen μs; 34.365 overhead μs; 54.608 total μs; 29.000 swaps; 85.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 32 strings array; 3.722 sort μs; 28.482 rand gen μs; 6.925 overhead μs; 39.129 total μs; 77.000 swaps; 232.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 64 strings array; 7.122 sort μs; 64.396 rand gen μs; 6.907 overhead μs; 78.425 total μs; 161.000 swaps; 503.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 128 strings array; 15.382 sort μs; 127.867 rand gen μs; 6.861 overhead μs; 150.110 total μs; 343.000 swaps; 1203.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 256 strings array; 32.238 sort μs; 236.002 rand gen μs; 6.547 overhead μs; 274.787 total μs; 757.000 swaps; 2647.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 512 strings array; 70.050 sort μs; 456.452 rand gen μs; 7.269 overhead μs; 533.771 total μs; 1678.000 swaps; 6017.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 1024 strings array; 153.273 sort μs; 880.858 rand gen μs; 7.540 overhead μs; 1041.671 total μs; 3566.000 swaps; 13478.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 2048 strings array; 335.261 sort μs; 1779.934 rand gen μs; 10.460 overhead μs; 2125.655 total μs; 7594.000 swaps; 31162.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 4096 strings array; 718.133 sort μs; 3501.378 rand gen μs; 10.819 overhead μs; 4230.330 total μs; 16123.000 swaps; 67468.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 8192 strings array; 1516.383 sort μs; 7024.081 rand gen μs; 12.983 overhead μs; 8553.447 total μs; 34213.000 swaps; 140535.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 16384 strings array; 3247.308 sort μs; 14109.527 rand gen μs; 18.150 overhead μs; 17374.985 total μs; 72982.000 swaps; 295722.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 32768 strings array; 7694.082 sort μs; 28082.894 rand gen μs; 29.950 overhead μs; 35806.926 total μs; 149237.000 swaps; 743626.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 65536 strings array; 15082.569 sort μs; 57120.657 rand gen μs; 81.413 overhead μs; 72284.639 total μs; 319376.000 swaps; 1447687.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 131072 strings array; 30737.707 sort μs; 113301.492 rand gen μs; 95.012 overhead μs; 144134.211 total μs; 671107.000 swaps; 2940804.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 262144 strings array; 65096.791 sort μs; 225646.190 rand gen μs; 166.902 overhead μs; 290909.883 total μs; 1402083.000 swaps; 6257337.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 524288 strings array; 138269.556 sort μs; 451771.981 rand gen μs; 645.938 overhead μs; 590687.475 total μs; 2936070.000 swaps; 13224060.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 1048576 strings array; 286621.534 sort μs; 903717.084 rand gen μs; 1771.453 overhead μs; 1192110.071 total μs; 6138708.000 swaps; 27083872.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 2097152 strings array; 612605.714 sort μs; 1806450.045 rand gen μs; 3578.403 overhead μs; 2422634.162 total μs; 12631729.000 swaps; 59834684.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 4194304 strings array; 1280946.215 sort μs; 3612573.344 rand gen μs; 6919.940 overhead μs; 4900439.499 total μs; 26323527.000 swaps; 124463702.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 8388608 strings array; 2662072.205 sort μs; 7225296.343 rand gen μs; 14324.179 overhead μs; 9901692.727 total μs; 54492800.000 swaps; 258334450.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 16777216 strings array; 5609696.006 sort μs; 14451466.571 rand gen μs; 28288.913 overhead μs; 20089451.490 total μs; 112507460.000 swaps; 552111961.000 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 33554432 strings array; 11817625.348 sort μs; 28903076.006 rand gen μs; 57640.685 overhead μs; 40778342.039 total μs; 233823128.000 swaps; 1149386437.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 16 strings array; 9.714 sort μs; 15.348 rand gen μs; 22.620 overhead μs; 47.682 total μs; 57.000 swaps; 46.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 32 strings array; 2.608 sort μs; 28.507 rand gen μs; 6.383 overhead μs; 37.498 total μs; 135.000 swaps; 120.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 64 strings array; 5.827 sort μs; 55.832 rand gen μs; 5.625 overhead μs; 67.284 total μs; 352.000 swaps; 314.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 128 strings array; 12.332 sort μs; 109.998 rand gen μs; 5.684 overhead μs; 128.014 total μs; 786.000 swaps; 725.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 256 strings array; 27.560 sort μs; 220.207 rand gen μs; 6.302 overhead μs; 254.069 total μs; 1890.000 swaps; 1721.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 512 strings array; 60.888 sort μs; 440.813 rand gen μs; 6.613 overhead μs; 508.314 total μs; 4288.000 swaps; 3957.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 1024 strings array; 135.642 sort μs; 878.173 rand gen μs; 7.058 overhead μs; 1020.873 total μs; 9581.000 swaps; 8946.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 2048 strings array; 296.934 sort μs; 1756.344 rand gen μs; 8.335 overhead μs; 2061.613 total μs; 21175.000 swaps; 19936.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 4096 strings array; 638.610 sort μs; 3536.501 rand gen μs; 10.069 overhead μs; 4185.180 total μs; 46499.000 swaps; 43961.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 8192 strings array; 1388.080 sort μs; 7010.070 rand gen μs; 12.324 overhead μs; 8410.474 total μs; 101337.000 swaps; 96111.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 16384 strings array; 3046.927 sort μs; 14111.420 rand gen μs; 17.004 overhead μs; 17175.351 total μs; 218855.000 swaps; 208589.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 32768 strings array; 6433.464 sort μs; 28812.878 rand gen μs; 49.986 overhead μs; 35296.328 total μs; 470767.000 swaps; 450167.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 65536 strings array; 13830.148 sort μs; 56731.518 rand gen μs; 54.683 overhead μs; 70616.349 total μs; 1006990.000 swaps; 965424.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 131072 strings array; 29447.032 sort μs; 113151.563 rand gen μs; 103.484 overhead μs; 142702.079 total μs; 2145286.000 swaps; 2062693.000 compares
Merge Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 1 iteration; 262144 strings array; 62474.935 sort μs; 225969.565 rand gen μs; 224.398 overhead μs; 288668.898 total μs; 4553095.000 swaps; 4387222.000 compares
