Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16 strings array; 6.894 sort μs; 17.939 rand gen μs; 27.113 overhead μs; 51.946 total μs; 35.000 swaps; 74.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 32 strings array; 8.179 sort μs; 28.459 rand gen μs; 9.235 overhead μs; 45.873 total μs; 74.000 swaps; 238.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 64 strings array; 14.528 sort μs; 55.346 rand gen μs; 7.242 overhead μs; 77.116 total μs; 152.000 swaps; 534.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 128 strings array; 32.261 sort μs; 110.786 rand gen μs; 9.609 overhead μs; 152.656 total μs; 357.000 swaps; 1156.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 256 strings array; 69.100 sort μs; 248.924 rand gen μs; 8.068 overhead μs; 326.092 total μs; 771.000 swaps; 2906.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 512 strings array; 139.759 sort μs; 452.303 rand gen μs; 9.703 overhead μs; 601.765 total μs; 1681.000 swaps; 5870.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 1024 strings array; 393.529 sort μs; 913.558 rand gen μs; 19.419 overhead μs; 1326.506 total μs; 3540.000 swaps; 14060.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 2048 strings array; 723.861 sort μs; 1881.614 rand gen μs; 28.041 overhead μs; 2633.516 total μs; 7642.000 swaps; 29194.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 4096 strings array; 1707.156 sort μs; 3750.493 rand gen μs; 29.132 overhead μs; 5486.781 total μs; 15956.000 swaps; 70608.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 8192 strings array; 3653.827 sort μs; 7576.207 rand gen μs; 75.593 overhead μs; 11305.627 total μs; 34079.000 swaps; 145755.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16384 strings array; 6764.625 sort μs; 14753.372 rand gen μs; 166.827 overhead μs; 21684.824 total μs; 72193.000 swaps; 307714.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 32768 strings array; 15147.533 sort μs; 28649.859 rand gen μs; 121.002 overhead μs; 43918.394 total μs; 151677.000 swaps; 683867.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 65536 strings array; 31517.418 sort μs; 56859.961 rand gen μs; 134.815 overhead μs; 88512.194 total μs; 319392.000 swaps; 1405895.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 131072 strings array; 70863.523 sort μs; 111500.393 rand gen μs; 129.711 overhead μs; 182493.627 total μs; 673928.000 swaps; 2911788.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 262144 strings array; 151405.987 sort μs; 222000.022 rand gen μs; 140.686 overhead μs; 373546.695 total μs; 1391081.000 swaps; 6483780.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 524288 strings array; 342272.169 sort μs; 442226.513 rand gen μs; 137.451 overhead μs; 784636.133 total μs; 2895889.000 swaps; 14129267.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 1048576 strings array; 735682.090 sort μs; 883738.307 rand gen μs; 152.628 overhead μs; 1619573.025 total μs; 6030466.000 swaps; 29671158.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 2097152 strings array; 1571558.704 sort μs; 1768463.231 rand gen μs; 144.399 overhead μs; 3340166.334 total μs; 12665103.000 swaps; 60049129.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 4194304 strings array; 3389118.530 sort μs; 3534789.304 rand gen μs; 140.435 overhead μs; 6924048.269 total μs; 26236177.000 swaps; 127915771.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 8388608 strings array; 7080946.897 sort μs; 7064913.691 rand gen μs; 147.920 overhead μs; 14146008.508 total μs; 54694747.000 swaps; 257679610.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16777216 strings array; 15207723.454 sort μs; 14138340.910 rand gen μs; 140.310 overhead μs; 29346204.674 total μs; 113319496.000 swaps; 537782747.000 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 33554432 strings array; 32460855.953 sort μs; 28204951.616 rand gen μs; 149.709 overhead μs; 60665957.278 total μs; 232610333.000 swaps; 1151354080.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16 strings array; 10.927 sort μs; 15.241 rand gen μs; 32.474 overhead μs; 58.642 total μs; 54.000 swaps; 48.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 32 strings array; 8.247 sort μs; 27.277 rand gen μs; 6.441 overhead μs; 41.965 total μs; 136.000 swaps; 121.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 64 strings array; 17.552 sort μs; 54.619 rand gen μs; 5.874 overhead μs; 78.045 total μs; 349.000 swaps; 305.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 128 strings array; 37.057 sort μs; 110.544 rand gen μs; 6.486 overhead μs; 154.087 total μs; 824.000 swaps; 742.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 256 strings array; 78.736 sort μs; 216.190 rand gen μs; 6.642 overhead μs; 301.568 total μs; 1900.000 swaps; 1717.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 512 strings array; 169.111 sort μs; 434.216 rand gen μs; 6.655 overhead μs; 609.982 total μs; 4275.000 swaps; 3969.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 1024 strings array; 371.754 sort μs; 857.943 rand gen μs; 7.422 overhead μs; 1237.119 total μs; 9593.000 swaps; 8934.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 2048 strings array; 810.609 sort μs; 1723.999 rand gen μs; 8.505 overhead μs; 2543.113 total μs; 21206.000 swaps; 19956.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 4096 strings array; 1770.338 sort μs; 3450.554 rand gen μs; 8.611 overhead μs; 5229.503 total μs; 46555.000 swaps; 43955.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 8192 strings array; 4313.335 sort μs; 7285.453 rand gen μs; 8.827 overhead μs; 11607.615 total μs; 101291.000 swaps; 96229.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16384 strings array; 8601.610 sort μs; 14000.204 rand gen μs; 44.682 overhead μs; 22646.496 total μs; 219005.000 swaps; 208613.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 32768 strings array; 20340.645 sort μs; 27671.444 rand gen μs; 20.468 overhead μs; 48032.557 total μs; 470891.000 swaps; 450196.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 65536 strings array; 45047.033 sort μs; 55467.904 rand gen μs; 33.278 overhead μs; 100548.215 total μs; 1007016.000 swaps; 965815.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 131072 strings array; 100172.930 sort μs; 109910.526 rand gen μs; 28.994 overhead μs; 210112.450 total μs; 2145736.000 swaps; 2062718.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 262144 strings array; 225383.690 sort μs; 220892.547 rand gen μs; 32.286 overhead μs; 446308.523 total μs; 4553236.000 swaps; 4387397.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 524288 strings array; 501025.092 sort μs; 440012.819 rand gen μs; 32.910 overhead μs; 941070.821 total μs; 9630059.000 swaps; 9298231.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 1048576 strings array; 1095041.022 sort μs; 881424.053 rand gen μs; 31.137 overhead μs; 1976496.212 total μs; 20307508.000 swaps; 19645284.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 2097152 strings array; 2569178.226 sort μs; 1760358.026 rand gen μs; 26.572 overhead μs; 4329562.824 total μs; 42713996.000 swaps; 41388266.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 4194304 strings array; 5575512.239 sort μs; 3522942.552 rand gen μs; 31.432 overhead μs; 9098486.223 total μs; 89619512.000 swaps; 86971620.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 8388608 strings array; 12029690.096 sort μs; 7043069.016 rand gen μs; 26.892 overhead μs; 19072786.004 total μs; 187632986.000 swaps; 182330376.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 16777216 strings array; 25707798.752 sort μs; 14082278.507 rand gen μs; 27.496 overhead μs; 39790104.755 total μs; 392043548.000 swaps; 381437927.000 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 1 iteration; 33554432 strings array; 54770222.800 sort μs; 28128278.801 rand gen μs; 26.548 overhead μs; 82898528.149 total μs; 817640131.000 swaps; 796434988.000 compares
