Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 16 strings array; 11.521 sort μs; 119.096 rand gen μs; 28.603 overhead μs; 159.220 total μs; 35.000 swaps; 90.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 32 strings array; 15.512 sort μs; 217.165 rand gen μs; 10.456 overhead μs; 243.133 total μs; 71.000 swaps; 188.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 64 strings array; 36.788 sort μs; 469.557 rand gen μs; 8.930 overhead μs; 515.275 total μs; 164.000 swaps; 506.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 128 strings array; 96.498 sort μs; 960.926 rand gen μs; 10.798 overhead μs; 1068.222 total μs; 351.000 swaps; 1506.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 256 strings array; 179.792 sort μs; 1917.444 rand gen μs; 27.337 overhead μs; 2124.573 total μs; 783.000 swaps; 2709.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 512 strings array; 372.654 sort μs; 3640.454 rand gen μs; 22.421 overhead μs; 4035.529 total μs; 1639.000 swaps; 6375.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 1024 strings array; 815.824 sort μs; 7390.249 rand gen μs; 40.741 overhead μs; 8246.814 total μs; 3531.000 swaps; 14671.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 2048 strings array; 1793.634 sort μs; 14585.630 rand gen μs; 201.142 overhead μs; 16580.406 total μs; 7571.000 swaps; 30545.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 4096 strings array; 3409.468 sort μs; 27593.098 rand gen μs; 143.488 overhead μs; 31146.054 total μs; 16290.000 swaps; 62893.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 8192 strings array; 7965.510 sort μs; 55166.891 rand gen μs; 135.385 overhead μs; 63267.786 total μs; 34534.000 swaps; 136277.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 16384 strings array; 18517.994 sort μs; 111411.081 rand gen μs; 162.168 overhead μs; 130091.243 total μs; 72639.000 swaps; 295285.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 32768 strings array; 42673.527 sort μs; 219054.127 rand gen μs; 193.011 overhead μs; 261920.665 total μs; 151886.000 swaps; 654605.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 65536 strings array; 92867.099 sort μs; 437989.876 rand gen μs; 143.051 overhead μs; 531000.026 total μs; 320353.000 swaps; 1411767.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 131072 strings array; 199687.331 sort μs; 881448.162 rand gen μs; 154.951 overhead μs; 1081290.444 total μs; 672707.000 swaps; 2932074.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 1 iteration; 262144 strings array; 432599.834 sort μs; 1745974.167 rand gen μs; 147.388 overhead μs; 2178721.389 total μs; 1390939.000 swaps; 6552781.000 compares
