Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 512 strings array; 70.064 sort μs; 31.115 rand gen μs; 6.359 overhead μs; 107.538 total μs; 4276.000 swaps; 3947.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1024 strings array; 153.631 sort μs; 62.431 rand gen μs; 6.079 overhead μs; 222.141 total μs; 9597.000 swaps; 8942.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2048 strings array; 334.618 sort μs; 124.514 rand gen μs; 6.243 overhead μs; 465.375 total μs; 21260.000 swaps; 19947.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4096 strings array; 720.991 sort μs; 246.426 rand gen μs; 6.646 overhead μs; 974.063 total μs; 46517.000 swaps; 43990.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8192 strings array; 1574.371 sort μs; 510.445 rand gen μs; 7.380 overhead μs; 2092.196 total μs; 101197.000 swaps; 96013.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16384 strings array; 3368.913 sort μs; 983.834 rand gen μs; 7.785 overhead μs; 4360.532 total μs; 219006.000 swaps; 208669.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 32768 strings array; 7234.487 sort μs; 1971.511 rand gen μs; 8.525 overhead μs; 9214.523 total μs; 471137.000 swaps; 449969.000 compares                                                         
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 65536 strings array; 15635.648 sort μs; 3965.387 rand gen μs; 25.588 overhead μs; 19626.623 total μs; 1007313.000 swaps; 965597.000 compares                                                     
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 131072 strings array; 32970.620 sort μs; 7871.719 rand gen μs; 12.308 overhead μs; 40854.647 total μs; 2145306.000 swaps; 2062441.000 compares                                                   
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 262144 strings array; 70022.296 sort μs; 15949.674 rand gen μs; 13.418 overhead μs; 85985.388 total μs; 4552983.000 swaps; 4386759.000 compares                                                  
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 524288 strings array; 149151.503 sort μs; 31553.967 rand gen μs; 22.796 overhead μs; 180728.266 total μs; 9630059.000 swaps; 9298357.000 compares                                                
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1048576 strings array; 317521.692 sort μs; 63035.778 rand gen μs; 30.135 overhead μs; 380587.605 total μs; 20308492.000 swaps; 19644920.000 compares                                             
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2097152 strings array; 676929.690 sort μs; 126165.945 rand gen μs; 25.446 overhead μs; 803121.081 total μs; 42716018.000 swaps; 41388924.000 compares                                            
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1429078.059 sort μs; 252054.324 rand gen μs; 28.258 overhead μs; 1681160.641 total μs; 89620576.000 swaps; 86968494.000 compares                                          
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8388608 strings array; 3017966.348 sort μs; 505547.280 rand gen μs; 26.020 overhead μs; 3523539.648 total μs; 187635291.000 swaps; 182331211.000 compares                                        
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16777216 strings array; 6339423.133 sort μs; 1008062.608 rand gen μs; 27.222 overhead μs; 7347512.963 total μs; 392050773.000 swaps; 381437011.000 compares                                      
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 33554432 strings array; 13311321.978 sort μs; 2019537.236 rand gen μs; 34.997 overhead μs; 15330894.211 total μs; 817642712.000 swaps; 796427415.000 compares                                    
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 67108864 strings array; 27911344.673 sort μs; 4035562.957 rand gen μs; 22.892 overhead μs; 31946930.522 total μs; 1702390738.000 swaps; 1659969467.000 compares                                  
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 134217728 strings array; 58361790.663 sort μs; 8070157.730 rand gen μs; 25.237 overhead μs; 66431973.630 total μs; 3539017804.000 swaps; 3454153474.000 compares                                 
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 268435456 strings array; 121767913.914 sort μs; 16140247.875 rand gen μs; 25.637 overhead μs; 137908187.426 total μs; 7346464427.000 swaps; 7176758991.000 compares                              
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 16 strings array; 1.719 sort μs; 2.224 rand gen μs; 27.162 overhead μs; 31.105 total μs; 32.000 swaps; 90.000 compares                                                                    
