Quick Sort; std::string type; 32 byte length; 10 iteration; 128 strings array; 21.555 sort μs; 37.694 rand gen μs; 2.777 overhead μs; 62.026 total μs; 354.700 swaps; 1178.400 compares
Quick Sort; std::string type; 64 byte length; 10 iteration; 128 strings array; 21.390 sort μs; 69.772 rand gen μs; 2.985 overhead μs; 94.147 total μs; 353.100 swaps; 1174.200 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 128 strings array; 22.274 sort μs; 123.693 rand gen μs; 7.753 overhead μs; 153.719 total μs; 356.400 swaps; 1190.400 compares                                                                                               
Quick Sort; std::string type; 256 byte length; 10 iteration; 128 strings array; 24.024 sort μs; 238.742 rand gen μs; 6.266 overhead μs; 269.031 total μs; 358.400 swaps; 1196.800 compares                                                                                               
Quick Sort; std::string type; 512 byte length; 10 iteration; 128 strings array; 26.795 sort μs; 468.658 rand gen μs; 7.994 overhead μs; 503.447 total μs; 359.100 swaps; 1239.600 compares                                                                                               
Quick Sort; std::string type; 1024 byte length; 10 iteration; 128 strings array; 36.750 sort μs; 935.619 rand gen μs; 16.506 overhead μs; 988.875 total μs; 355.500 swaps; 1184.600 compares                                                                                             
Quick Sort; std::string type; 2 byte length; 10 iteration; 256 strings array; 46.631 sort μs; 22.053 rand gen μs; 11.546 overhead μs; 80.231 total μs; 770.500 swaps; 2683.600 compares                                                                                                  
Quick Sort; std::string type; 4 byte length; 10 iteration; 256 strings array; 47.056 sort μs; 26.291 rand gen μs; 5.720 overhead μs; 79.067 total μs; 767.500 swaps; 2787.100 compares                                                                                                   
Quick Sort; std::string type; 8 byte length; 10 iteration; 256 strings array; 44.540 sort μs; 23.840 rand gen μs; 5.184 overhead μs; 73.564 total μs; 768.800 swaps; 2761.700 compares                                                                                                   
Quick Sort; std::string type; 16 byte length; 10 iteration; 256 strings array; 44.620 sort μs; 38.941 rand gen μs; 4.734 overhead μs; 88.295 total μs; 772.900 swaps; 2736.500 compares                                                                                                  
Quick Sort; std::string type; 32 byte length; 10 iteration; 256 strings array; 50.266 sort μs; 70.146 rand gen μs; 5.101 overhead μs; 125.512 total μs; 771.700 swaps; 2699.400 compares                                                                                                 
Quick Sort; std::string type; 64 byte length; 10 iteration; 256 strings array; 49.008 sort μs; 125.210 rand gen μs; 5.231 overhead μs; 179.449 total μs; 770.700 swaps; 2680.300 compares                                                                                                
Quick Sort; std::string type; 128 byte length; 10 iteration; 256 strings array; 45.418 sort μs; 228.893 rand gen μs; 7.662 overhead μs; 281.973 total μs; 768.200 swaps; 2782.900 compares                                                                                               
Quick Sort; std::string type; 256 byte length; 10 iteration; 256 strings array; 48.032 sort μs; 464.029 rand gen μs; 7.797 overhead μs; 519.859 total μs; 771.900 swaps; 2677.700 compares                                                                                               
Quick Sort; std::string type; 512 byte length; 10 iteration; 256 strings array; 48.913 sort μs; 867.067 rand gen μs; 14.403 overhead μs; 930.384 total μs; 779.400 swaps; 2702.200 compares                                                                                              
Quick Sort; std::string type; 1024 byte length; 10 iteration; 256 strings array; 56.195 sort μs; 1764.293 rand gen μs; 22.600 overhead μs; 1843.088 total μs; 772.100 swaps; 2759.500 compares                                                                                           
Quick Sort; std::string type; 2 byte length; 10 iteration; 512 strings array; 102.049 sort μs; 43.714 rand gen μs; 10.067 overhead μs; 155.829 total μs; 1665.000 swaps; 6203.300 compares                                                                                               
Quick Sort; std::string type; 4 byte length; 10 iteration; 512 strings array; 101.096 sort μs; 45.956 rand gen μs; 8.634 overhead μs; 155.686 total μs; 1684.900 swaps; 6025.100 compares                                                                                                
Quick Sort; std::string type; 8 byte length; 10 iteration; 512 strings array; 100.508 sort μs; 48.256 rand gen μs; 8.691 overhead μs; 157.455 total μs; 1658.600 swaps; 6231.500 compares                                                                                                
Quick Sort; std::string type; 16 byte length; 10 iteration; 512 strings array; 101.033 sort μs; 76.377 rand gen μs; 8.381 overhead μs; 185.790 total μs; 1663.300 swaps; 6071.200 compares                                                                                               
Quick Sort; std::string type; 32 byte length; 10 iteration; 512 strings array; 106.285 sort μs; 128.745 rand gen μs; 8.340 overhead μs; 243.370 total μs; 1674.300 swaps; 6087.300 compares                                                                                              
Quick Sort; std::string type; 64 byte length; 10 iteration; 512 strings array; 104.614 sort μs; 238.362 rand gen μs; 8.190 overhead μs; 351.165 total μs; 1667.900 swaps; 6261.700 compares                                                                                              
Quick Sort; std::string type; 128 byte length; 10 iteration; 512 strings array; 104.631 sort μs; 478.173 rand gen μs; 15.271 overhead μs; 598.075 total μs; 1668.500 swaps; 5974.000 compares                                                                                            
Quick Sort; std::string type; 256 byte length; 10 iteration; 512 strings array; 104.162 sort μs; 903.073 rand gen μs; 21.971 overhead μs; 1029.206 total μs; 1662.300 swaps; 6284.000 compares                                                                                           
Quick Sort; std::string type; 512 byte length; 10 iteration; 512 strings array; 110.935 sort μs; 1804.538 rand gen μs; 29.362 overhead μs; 1944.836 total μs; 1666.300 swaps; 6103.700 compares                                                                                          
Quick Sort; std::string type; 1024 byte length; 10 iteration; 512 strings array; 128.698 sort μs; 3551.171 rand gen μs; 44.473 overhead μs; 3724.342 total μs; 1657.700 swaps; 6256.800 compares                                                                                         
Quick Sort; std::string type; 2 byte length; 10 iteration; 1024 strings array; 208.878 sort μs; 83.918 rand gen μs; 16.545 overhead μs; 309.341 total μs; 3624.600 swaps; 13228.600 compares                                                                                             
Quick Sort; std::string type; 4 byte length; 10 iteration; 1024 strings array; 212.066 sort μs; 90.476 rand gen μs; 15.540 overhead μs; 318.082 total μs; 3586.100 swaps; 13714.400 compares                                                                                             
Quick Sort; std::string type; 8 byte length; 10 iteration; 1024 strings array; 217.393 sort μs; 98.015 rand gen μs; 15.504 overhead μs; 330.913 total μs; 3571.400 swaps; 13767.700 compares                                                                                             
Quick Sort; std::string type; 16 byte length; 10 iteration; 1024 strings array; 228.104 sort μs; 151.508 rand gen μs; 16.774 overhead μs; 396.386 total μs; 3569.000 swaps; 13861.400 compares                                                                                           
Quick Sort; std::string type; 32 byte length; 10 iteration; 1024 strings array; 229.541 sort μs; 261.313 rand gen μs; 15.827 overhead μs; 506.681 total μs; 3575.100 swaps; 13614.000 compares                                                                                           
Quick Sort; std::string type; 64 byte length; 10 iteration; 1024 strings array; 227.782 sort μs; 476.273 rand gen μs; 15.593 overhead μs; 719.648 total μs; 3565.500 swaps; 13623.300 compares                                                                                           
Quick Sort; std::string type; 128 byte length; 10 iteration; 1024 strings array; 230.418 sort μs; 938.271 rand gen μs; 34.610 overhead μs; 1203.298 total μs; 3550.900 swaps; 14219.900 compares                                                                                         
Quick Sort; std::string type; 256 byte length; 10 iteration; 1024 strings array; 230.510 sort μs; 1820.594 rand gen μs; 43.550 overhead μs; 2094.655 total μs; 3583.600 swaps; 13464.600 compares                                                                                        
Quick Sort; std::string type; 512 byte length; 10 iteration; 1024 strings array; 250.303 sort μs; 3593.273 rand gen μs; 61.499 overhead μs; 3905.076 total μs; 3568.300 swaps; 13812.600 compares                                                                                        
Quick Sort; std::string type; 1024 byte length; 10 iteration; 1024 strings array; 297.165 sort μs; 7111.209 rand gen μs; 90.781 overhead μs; 7499.155 total μs; 3563.600 swaps; 13900.600 compares                                                                                       
Quick Sort; std::string type; 2 byte length; 10 iteration; 2048 strings array; 453.870 sort μs; 166.814 rand gen μs; 32.835 overhead μs; 653.518 total μs; 7656.000 swaps; 30423.900 compares                                                                                            
Quick Sort; std::string type; 4 byte length; 10 iteration; 2048 strings array; 464.723 sort μs; 173.851 rand gen μs; 30.312 overhead μs; 668.885 total μs; 7577.400 swaps; 31523.000 compares                                                                                            
Quick Sort; std::string type; 8 byte length; 10 iteration; 2048 strings array; 481.448 sort μs; 194.083 rand gen μs; 30.584 overhead μs; 706.115 total μs; 7604.200 swaps; 30574.800 compares                                                                                            
Quick Sort; std::string type; 16 byte length; 10 iteration; 2048 strings array; 474.345 sort μs; 297.136 rand gen μs; 30.284 overhead μs; 801.765 total μs; 7612.900 swaps; 30113.500 compares                                                                                           
Quick Sort; std::string type; 32 byte length; 10 iteration; 2048 strings array; 495.028 sort μs; 510.529 rand gen μs; 30.322 overhead μs; 1035.879 total μs; 7610.700 swaps; 29817.800 compares                                                                                          
Quick Sort; std::string type; 64 byte length; 10 iteration; 2048 strings array; 510.575 sort μs; 967.654 rand gen μs; 32.774 overhead μs; 1511.003 total μs; 7559.400 swaps; 31089.700 compares                                                                                          
Quick Sort; std::string type; 128 byte length; 10 iteration; 2048 strings array; 482.801 sort μs; 1862.966 rand gen μs; 70.113 overhead μs; 2415.880 total μs; 7628.900 swaps; 30441.900 compares                                                                                        
Quick Sort; std::string type; 256 byte length; 10 iteration; 2048 strings array; 497.763 sort μs; 3621.401 rand gen μs; 84.065 overhead μs; 4203.229 total μs; 7580.700 swaps; 30346.900 compares                                                                                        
Quick Sort; std::string type; 512 byte length; 10 iteration; 2048 strings array; 569.144 sort μs; 7203.269 rand gen μs; 113.904 overhead μs; 7886.318 total μs; 7586.600 swaps; 30811.600 compares                                                                                       
Quick Sort; std::string type; 1024 byte length; 10 iteration; 2048 strings array; 618.903 sort μs; 14054.709 rand gen μs; 170.032 overhead μs; 14843.644 total μs; 7609.300 swaps; 30220.700 compares                                                                                    
Quick Sort; std::string type; 2 byte length; 10 iteration; 4096 strings array; 972.721 sort μs; 333.312 rand gen μs; 62.586 overhead μs; 1368.618 total μs; 16453.200 swaps; 65475.700 compares                                                                                          
Quick Sort; std::string type; 4 byte length; 10 iteration; 4096 strings array; 1012.212 sort μs; 353.340 rand gen μs; 60.824 overhead μs; 1426.376 total μs; 16183.600 swaps; 66220.700 compares                                                                                         
Quick Sort; std::string type; 8 byte length; 10 iteration; 4096 strings array; 1030.943 sort μs; 379.859 rand gen μs; 60.499 overhead μs; 1471.301 total μs; 16183.100 swaps; 66189.100 compares                                                                                         
Quick Sort; std::string type; 16 byte length; 10 iteration; 4096 strings array; 1053.516 sort μs; 598.748 rand gen μs; 62.038 overhead μs; 1714.302 total μs; 16153.600 swaps; 66108.700 compares                                                                                        
Quick Sort; std::string type; 32 byte length; 10 iteration; 4096 strings array; 1099.189 sort μs; 1022.325 rand gen μs; 60.648 overhead μs; 2182.162 total μs; 16155.600 swaps; 65578.900 compares                                                                                       
Quick Sort; std::string type; 64 byte length; 10 iteration; 4096 strings array; 1119.478 sort μs; 1914.265 rand gen μs; 60.559 overhead μs; 3094.302 total μs; 16201.700 swaps; 65614.000 compares                                                                                       
Quick Sort; std::string type; 128 byte length; 10 iteration; 4096 strings array; 1067.034 sort μs; 3769.450 rand gen μs; 148.900 overhead μs; 4985.385 total μs; 16117.000 swaps; 67530.900 compares                                                                                     
Quick Sort; std::string type; 256 byte length; 10 iteration; 4096 strings array; 1080.604 sort μs; 7297.103 rand gen μs; 172.796 overhead μs; 8550.504 total μs; 16184.100 swaps; 64924.900 compares                                                                                     
Quick Sort; std::string type; 512 byte length; 10 iteration; 4096 strings array; 1232.703 sort μs; 14197.033 rand gen μs; 246.232 overhead μs; 15675.968 total μs; 16172.900 swaps; 66685.700 compares                                                                                   
Quick Sort; std::string type; 1024 byte length; 10 iteration; 4096 strings array; 1812.060 sort μs; 28827.080 rand gen μs; 489.613 overhead μs; 31128.753 total μs; 16125.700 swaps; 66938.600 compares                                                                                  
Quick Sort; std::string type; 2 byte length; 10 iteration; 8192 strings array; 2139.103 sort μs; 675.240 rand gen μs; 125.262 overhead μs; 2939.605 total μs; 35276.900 swaps; 140941.900 compares                                                                                       
Quick Sort; std::string type; 4 byte length; 10 iteration; 8192 strings array; 2257.125 sort μs; 710.697 rand gen μs; 122.968 overhead μs; 3090.790 total μs; 34198.500 swaps; 145911.900 compares                                                                                       
Quick Sort; std::string type; 8 byte length; 10 iteration; 8192 strings array; 2290.997 sort μs; 763.394 rand gen μs; 120.392 overhead μs; 3174.783 total μs; 34171.900 swaps; 144756.900 compares                                                                                       
Quick Sort; std::string type; 16 byte length; 10 iteration; 8192 strings array; 2340.544 sort μs; 1197.700 rand gen μs; 124.573 overhead μs; 3662.816 total μs; 34231.200 swaps; 144071.200 compares                                                                                     
Quick Sort; std::string type; 32 byte length; 10 iteration; 8192 strings array; 2475.054 sort μs; 2098.603 rand gen μs; 125.711 overhead μs; 4699.367 total μs; 34141.100 swaps; 144820.700 compares                                                                                     
Quick Sort; std::string type; 64 byte length; 10 iteration; 8192 strings array; 2529.900 sort μs; 3894.306 rand gen μs; 134.550 overhead μs; 6558.757 total μs; 34245.300 swaps; 143818.100 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 8192 strings array; 2364.010 sort μs; 7617.432 rand gen μs; 322.746 overhead μs; 10304.188 total μs; 34194.400 swaps; 144483.100 compares
Quick Sort; std::string type; 256 byte length; 10 iteration; 8192 strings array; 2602.686 sort μs; 14756.668 rand gen μs; 424.453 overhead μs; 17783.807 total μs; 34135.500 swaps; 147709.600 compares
Quick Sort; std::string type; 512 byte length; 10 iteration; 8192 strings array; 2963.051 sort μs; 28472.860 rand gen μs; 658.784 overhead μs; 32094.696 total μs; 34190.900 swaps; 143394.000 compares
Quick Sort; std::string type; 1024 byte length; 10 iteration; 8192 strings array; 3888.636 sort μs; 56665.501 rand gen μs; 1105.385 overhead μs; 61659.522 total μs; 34135.500 swaps; 146825.000 compares
Quick Sort; std::string type; 2 byte length; 10 iteration; 16384 strings array; 4585.897 sort μs; 1346.242 rand gen μs; 274.240 overhead μs; 6206.379 total μs; 75990.500 swaps; 290680.000 compares
Quick Sort; std::string type; 4 byte length; 10 iteration; 16384 strings array; 4937.779 sort μs; 1416.910 rand gen μs; 261.946 overhead μs; 6616.635 total μs; 72230.400 swaps; 310997.200 compares
Quick Sort; std::string type; 8 byte length; 10 iteration; 16384 strings array; 5082.467 sort μs; 1538.948 rand gen μs; 253.558 overhead μs; 6874.974 total μs; 72144.900 swaps; 312477.100 compares
Quick Sort; std::string type; 16 byte length; 10 iteration; 16384 strings array; 5074.659 sort μs; 2373.526 rand gen μs; 296.258 overhead μs; 7744.443 total μs; 72403.500 swaps; 306192.300 compares
Quick Sort; std::string type; 32 byte length; 10 iteration; 16384 strings array; 5390.610 sort μs; 4194.526 rand gen μs; 246.561 overhead μs; 9831.697 total μs; 72396.400 swaps; 304811.100 compares
Quick Sort; std::string type; 64 byte length; 10 iteration; 16384 strings array; 5430.756 sort μs; 7782.102 rand gen μs; 312.348 overhead μs; 13525.206 total μs; 72271.100 swaps; 309328.900 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 16384 strings array; 5250.912 sort μs; 15068.592 rand gen μs; 764.614 overhead μs; 21084.118 total μs; 72291.400 swaps; 308423.700 compares
Quick Sort; std::string type; 256 byte length; 10 iteration; 16384 strings array; 5794.514 sort μs; 29219.337 rand gen μs; 1077.866 overhead μs; 36091.716 total μs; 72301.600 swaps; 307511.700 compares
Quick Sort; std::string type; 512 byte length; 10 iteration; 16384 strings array; 7015.844 sort μs; 57179.717 rand gen μs; 1731.095 overhead μs; 65926.655 total μs; 72293.100 swaps; 309663.200 compares
Quick Sort; std::string type; 1024 byte length; 10 iteration; 16384 strings array; 8648.093 sort μs; 112906.010 rand gen μs; 2567.035 overhead μs; 124121.138 total μs; 72299.200 swaps; 308322.000 compares
Quick Sort; std::string type; 2 byte length; 10 iteration; 32768 strings array; 9701.472 sort μs; 2817.543 rand gen μs; 561.408 overhead μs; 13080.423 total μs; 163462.400 swaps; 621859.200 compares
Quick Sort; std::string type; 4 byte length; 10 iteration; 32768 strings array; 10631.151 sort μs; 2977.615 rand gen μs; 543.022 overhead μs; 14151.788 total μs; 151972.200 swaps; 664716.200 compares
Quick Sort; std::string type; 8 byte length; 10 iteration; 32768 strings array; 10795.387 sort μs; 3137.053 rand gen μs; 555.092 overhead μs; 14487.531 total μs; 152203.600 swaps; 662923.300 compares
Quick Sort; std::string type; 16 byte length; 10 iteration; 32768 strings array; 10980.742 sort μs; 4921.071 rand gen μs; 576.776 overhead μs; 16478.590 total μs; 151918.500 swaps; 673597.300 compares
Quick Sort; std::string type; 32 byte length; 10 iteration; 32768 strings array; 11948.451 sort μs; 8243.514 rand gen μs; 658.243 overhead μs; 20850.209 total μs; 151792.900 swaps; 670874.300 compares
Quick Sort; std::string type; 64 byte length; 10 iteration; 32768 strings array; 12716.778 sort μs; 15605.686 rand gen μs; 777.770 overhead μs; 29100.233 total μs; 151716.100 swaps; 678487.200 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 32768 strings array; 12505.627 sort μs; 30348.232 rand gen μs; 2386.575 overhead μs; 45240.434 total μs; 152285.900 swaps; 664583.400 compares
Quick Sort; std::string type; 256 byte length; 10 iteration; 32768 strings array; 13701.751 sort μs; 58534.049 rand gen μs; 2901.714 overhead μs; 75137.514 total μs; 151835.600 swaps; 666417.300 compares
Quick Sort; std::string type; 512 byte length; 10 iteration; 32768 strings array; 15932.493 sort μs; 114270.672 rand gen μs; 4151.212 overhead μs; 134354.377 total μs; 151912.700 swaps; 670460.700 compares
Quick Sort; std::string type; 1024 byte length; 10 iteration; 32768 strings array; 19139.392 sort μs; 225909.292 rand gen μs; 5698.336 overhead μs; 250747.019 total μs; 151864.800 swaps; 677322.200 compares
Quick Sort; std::string type; 2 byte length; 10 iteration; 65536 strings array; 21222.227 sort μs; 5486.628 rand gen μs; 1485.844 overhead μs; 28194.699 total μs; 354538.200 swaps; 1279149.300 compares
Quick Sort; std::string type; 4 byte length; 10 iteration; 65536 strings array; 23768.882 sort μs; 5787.651 rand gen μs; 1496.429 overhead μs; 31052.962 total μs; 318795.500 swaps; 1421902.200 compares
Quick Sort; std::string type; 8 byte length; 10 iteration; 65536 strings array; 24353.684 sort μs; 6515.685 rand gen μs; 1236.016 overhead μs; 32105.385 total μs; 319232.800 swaps; 1432898.500 compares
Quick Sort; std::string type; 16 byte length; 10 iteration; 65536 strings array; 25105.969 sort μs; 10209.904 rand gen μs; 2203.316 overhead μs; 37519.189 total μs; 318821.300 swaps; 1422552.200 compares
Quick Sort; std::string type; 32 byte length; 10 iteration; 65536 strings array; 28759.821 sort μs; 18302.099 rand gen μs; 2511.832 overhead μs; 49573.752 total μs; 318030.000 swaps; 1453602.200 compares
