Merge Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 128 strings array; 31.871 sort μs; 108.544 rand gen μs; 0.352 overhead μs; 140.767 total μs; 816.330 swaps; 736.245 compares
Merge Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 128 strings array; 85.316 sort μs; 852.213 rand gen μs; 0.530 overhead μs; 938.059 total μs; 815.735 swaps; 735.300 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 256 strings array; 30.297 sort μs; 16.345 rand gen μs; 0.368 overhead μs; 47.009 total μs; 1886.935 swaps; 1725.710 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 256 strings array; 73.679 sort μs; 217.134 rand gen μs; 0.472 overhead μs; 291.284 total μs; 1887.110 swaps; 1726.085 compares
Merge Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 256 strings array; 206.684 sort μs; 1697.586 rand gen μs; 0.705 overhead μs; 1904.975 total μs; 1886.345 swaps; 1727.060 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 512 strings array; 68.313 sort μs; 32.260 rand gen μs; 0.429 overhead μs; 101.002 total μs; 4286.280 swaps; 3961.950 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 512 strings array; 168.182 sort μs; 439.502 rand gen μs; 0.594 overhead μs; 608.277 total μs; 4284.585 swaps; 3963.600 compares
Merge Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 512 strings array; 478.442 sort μs; 3391.979 rand gen μs; 0.575 overhead μs; 3870.997 total μs; 4284.920 swaps; 3963.025 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 1024 strings array; 151.214 sort μs; 63.747 rand gen μs; 0.375 overhead μs; 215.337 total μs; 9590.415 swaps; 8944.230 compares
Merge Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 1024 strings array; 366.278 sort μs; 865.353 rand gen μs; 0.511 overhead μs; 1232.142 total μs; 9592.215 swaps; 8947.940 compares
Merge Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 1024 strings array; 1113.063 sort μs; 6792.563 rand gen μs; 0.752 overhead μs; 7906.378 total μs; 9593.430 swaps; 8947.185 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 16 strings array; 1.185 sort μs; 1.260 rand gen μs; 0.399 overhead μs; 2.844 total μs; 32.345 swaps; 82.235 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 16 strings array; 1.053 sort μs; 14.044 rand gen μs; 0.321 overhead μs; 15.417 total μs; 32.620 swaps; 83.195 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 16 strings array; 1.070 sort μs; 107.227 rand gen μs; 0.337 overhead μs; 108.634 total μs; 32.440 swaps; 81.120 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 32 strings array; 2.594 sort μs; 2.342 rand gen μs; 0.358 overhead μs; 5.294 total μs; 73.185 swaps; 207.265 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 32 strings array; 2.439 sort μs; 27.640 rand gen μs; 0.338 overhead μs; 30.417 total μs; 73.550 swaps; 208.155 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 32 strings array; 2.495 sort μs; 212.464 rand gen μs; 0.349 overhead μs; 215.308 total μs; 73.345 swaps; 206.800 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 64 strings array; 6.206 sort μs; 4.307 rand gen μs; 0.386 overhead μs; 10.898 total μs; 162.890 swaps; 503.980 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 64 strings array; 5.807 sort μs; 56.597 rand gen μs; 0.362 overhead μs; 62.765 total μs; 162.440 swaps; 507.855 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 64 strings array; 5.956 sort μs; 424.920 rand gen μs; 0.437 overhead μs; 431.313 total μs; 162.655 swaps; 502.450 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 128 strings array; 13.815 sort μs; 8.286 rand gen μs; 0.426 overhead μs; 22.527 total μs; 355.485 swaps; 1188.785 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 128 strings array; 13.333 sort μs; 111.349 rand gen μs; 0.410 overhead μs; 125.092 total μs; 355.635 swaps; 1181.375 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 128 strings array; 13.666 sort μs; 857.785 rand gen μs; 0.590 overhead μs; 872.042 total μs; 356.110 swaps; 1185.130 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 256 strings array; 31.610 sort μs; 16.531 rand gen μs; 0.519 overhead μs; 48.660 total μs; 772.680 swaps; 2749.815 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 256 strings array; 29.597 sort μs; 222.720 rand gen μs; 0.666 overhead μs; 252.983 total μs; 773.480 swaps; 2734.755 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 256 strings array; 31.020 sort μs; 1740.121 rand gen μs; 0.719 overhead μs; 1771.860 total μs; 771.325 swaps; 2742.565 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 512 strings array; 70.606 sort μs; 33.014 rand gen μs; 0.677 overhead μs; 104.296 total μs; 1664.405 swaps; 6201.595 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 512 strings array; 65.127 sort μs; 446.983 rand gen μs; 1.023 overhead μs; 513.134 total μs; 1663.595 swaps; 6191.830 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 200 iteration; 512 strings array; 67.706 sort μs; 3432.903 rand gen μs; 1.321 overhead μs; 3501.931 total μs; 1662.455 swaps; 6160.355 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 200 iteration; 1024 strings array; 154.559 sort μs; 65.089 rand gen μs; 0.922 overhead μs; 220.570 total μs; 3568.060 swaps; 13741.250 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 200 iteration; 1024 strings array; 144.445 sort μs; 888.186 rand gen μs; 2.065 overhead μs; 1034.697 total μs; 3566.750 swaps; 13790.145 compares
